tabell,vernacular_name,scientific_name,taxon_id,family,phylum,registrering
arter,strandlysing,Lysimachia vulgaris,221112,Primulaceae,Tracheophyta,
arter,strandmaskrosor,Taraxacum sect. Palustria,220374,Asteraceae,Tracheophyta,
arter,strandmolke,Sonchus palustris,220335,Asteraceae,Tracheophyta,r
arter,strandmålla,Atriplex littoralis,220661,Amaranthaceae,Tracheophyta,
arter,strandnarv,Sagina maritima,220900,Caryophyllaceae,Tracheophyta,
arter,strandråg,Leymus arenarius,219687,Poaceae,Tracheophyta,
arter,strandrödtoppa,Odontites litoralis,221734,Orobanchaceae,Tracheophyta,
arter,strandtåg,Juncus maritimus,222537,Juncaceae,Tracheophyta,
arter,strandvallmo,Glaucium flavum,712,Papaveraceae,Tracheophyta,rt
arter,strandveronika,Veronica longifolia,221893,Scrophularicaceae,Tracheophyta,
arter,strandvial,Lathyrus japonicus,221220,Fabaceae,Tracheophyta,t
arter,strandviva,Primula nutans,1295,Primulaceae,Tracheophyta,
arter,strandögontröst,Euphrasia bottnica,221973,Orobanchaceae,Tracheophyta,
arter,strätta,Angelica sylvestris,219624,Apiaceae,Tracheophyta,r
arter,styv glasört,Salicornia procumbens,224037,Amaranthaceae,Tracheophyta,r
arter,styvmorsviol,Viola tricolor,222011,Violaceae,Tracheophyta,
arter,sumpgentiana,Gentianella uliginosa,221449,Gentianaceae,Tracheophyta,
arter,svartkavle,Alopecurus arundinaceus,222205,NA,Tracheophyta,
arter,sydkråkbär,Empetrum nigrum subsp. nigrum,224097,Ericaceae,Tracheophyta,
buskar,syren,Syringa vulgaris,221841,Oleaceae,Tracheophyta,
arter,såpor,Calothrix,1009419,Cyanobakterier,Cyanobacteria,T
trad,sälg,Salix caprea,223284,NA,Tracheophyta,
trad,sötkörsbär,Prunus avium,223076,Rosaceae,Tracheophyta,
trad,tall,Pinus sylvestris,222163,Pinaceae,Tracheophyta,
buskar,tibast,Daphne mezereum,222412,Thymelaeaceae,Tracheophyta,
arter,toppdån,Galeopsis bifida,221646,Lamiaceae,Tracheophyta,
arter,toppfrossört,Scutellaria hastifolia,221820,Lamiaceae,Tracheophyta,
arter,trift,Armeria maritima,220649,Plumbaginaceae,Tracheophyta,
arter,svart trolldruva,Actaea spicata,222771,Ranunculaceae,Tracheophyta,
arter,tuschlav,Lasallia pustulata,228943,Lavar,Ascomycota,
trad,tysklönn,Acer pseudoplatanus,223316,Aceraceae,Tracheophyta,
arter,vanlig gåsört,Argentina anserina subsp. anserina,224944,Rosaceae,Tracheophyta,
arter,vanlig strandmalört,Artemisia maritima subsp. maritima,223775,Asteraceae,Tracheophyta,
arter,vass,Phragmites australis,219733,Poaceae,Tracheophyta,
arter,vattenmynta,Mentha aquatica,221711,Lamiaceae,Tracheophyta,
arter,vejde,Isatis tinctoria,219842,Brassicaceae,Tracheophyta,r
buskar,videkornell,Cornus sericea,224081,Cornaceae,Tracheophyta,
buskar,viden,Salix,1006592,Salicaceae,Tracheophyta,
buskar,vinbär,Ribes,1006608,Rosaceae,Tracheophyta,
arter,vippärt,Lathyrus niger,221223,Fabaceae,Tracheophyta,
arter,vittåtel,Aira caryophyllea,16,Poaceae,Tracheophyta,
buskar,vresros,Rosa rugosa,223120,Rosaceae,Tracheophyta,
arter,vårkorsört,Senecio leucanthemifolius subsp. vernalis,220316,Asteraceae,Tracheophyta,
trad,vårtbjörk,Betula pendula,221394,Betulaceas,Tracheophyta,
arter,vårtåtel,Aira praecox,222203,Poaceae,Tracheophyta,
arter,vägglav,Xanthoria parietina,230384,Lavar,Ascomycota,
arter,väggmossa,Pleurozium schreberi,2814,Mossor,Bryophyta,
arter,vänderötter,Valeriana,1006132,Caprifoliaceae,Tracheophyta,
arter,västkustarv,Cerastium diffusum,220693,Caryophyllaceae,Tracheophyta,
arter,åkergroblad,Plantago major subsp. intermedia,224300,Plantaginaceae,Tracheophyta,
arter,åkermolke,Sonchus arvensis,220332,Asteraceae,Tracheophyta,r
arter,älggräs,Filipendula ulmaria,223026,Rosaceae,Tracheophyta,
arter,ängsskallra,Rhinanthus minor,221787,Orobanchaceae,Tracheophyta,
arter,ängssyra,Rumex acetosa,220868,Polygonaceae,Tracheophyta,
buskar,tok,Dasiphora fruticosa,223337,Rosaceae,Tracheophyta,
arter,örnbräken,Pteridium aquilinum,220865,Dennstaedtiaceae,Tracheophyta,T
arter,östersjötåg,Juncus balticus,224779,Juncaceae,Tracheophyta,
trad,popplar,Populus,1006525,Salicaceae,Tracheophyta,
